bullish_engulfing,bearish_engulfing,hammer,shooting_star,doji,morning_star,evening_star,three_white_soldiers,three_black_crows,harami,piercing_line,dark_cloud_cover,abandoned_baby,moving_averages,bollinger_bands,keltner_channels,donchian_channels,parabolic_sar,rsi,stochastic,macd,williams_r,cci,obv,ad_line,mfi,cmf,vpt,awesome_oscillator,momentum,roc,rvi,atr,bbw,kcw,elder_ray,supertrend,demark,volume_delta,volume_ratio,volume_price_conf,volume_weighted,head_and_shoulders,double_patterns,volume_profile,fibonacci_tools,gann_tools
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,155.9866026026806,64.38618925831202,,,-14.203935599284424,,-189981307.0,195000140.74145654,55.92060811114019,0.0009798276377768502,-849852.0229288111,,13.5,5.873140172278778,-0.22870140612076026,6.40571428571429,12.448222712979975,12.851210983882542,,,,2523937.7897455115,1.2365798075857217,43397400.79071419,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,,,,161.46720644651975,76.12199355318621,,,-17.66487213997308,,-134240580.0,170345588.41453347,63.045771711741814,-0.004552104688609993,-737619.2968029116,,21.069999999999993,9.457761019840198,-0.27011383368705305,6.32214285714286,12.741428332088809,12.821618227879759,,,,-2947461.267035488,1.6614902685876154,73009840.72142844,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,168.47782993079818,79.07431551499349,,,-8.436578171091485,,-94759861.0,151169239.18596166,62.292680331606064,0.03407245341624561,326101.5308780387,,26.75999999999999,11.964589108468207,-0.15164113785557923,6.657857142857147,14.05672850560935,11.959647135579944,,,,3472779.6988961846,1.590014524485816,87751393.09785701,,,,,,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,176.95804693771836,79.7816502204493,,,-3.8100820633060115,,-59202322.0,153108741.3132341,69.45259877965808,0.0756128498051987,578846.5968472107,11.736823529411794,28.369999999999976,12.67479783764463,-0.2320127504553731,6.568571428571433,15.398006078472184,11.780187365838072,,,,-50124525.333184995,1.4916246471163657,91493601.27071409,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,186.14308130519217,83.0624122014851,,,-10.140202151939963,,-16847002.0,148753052.377064,80.94580096290024,0.03811311992937843,1148174.6491866263,13.527617647058833,32.95000000000002,14.79967660797701,-0.2387279459812671,6.672857142857148,17.006646175595368,11.790211414035861,,,,-83278673.87252954,2.4726182731988935,110085626.02071431,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,196.30104992246527,81.62020905923349,,,-3.3676333021516687,,10415978.0,152174721.9317192,79.85196770162915,0.0012958421968661785,1514041.9421167073,16.24199999999999,29.039999999999992,12.627184972606312,-0.2532811420676948,6.305714285714292,18.87709387742212,11.325210414778688,,,,-65296498.5304727,2.2582317759523014,80857616.21357141,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,206.50888193487083,83.25188804975572,,,-6.254114549045532,,-12818733.0,175250291.07555497,74.09836039725066,-0.01730564982091209,1440485.9888312474,18.10352941176467,29.939999999999998,13.116621396652938,-0.1309007399846904,5.85928571428572,19.93549559659494,10.376305722729077,,,,26230586.388914317,3.020415409955204,88312837.48642854,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,215.0834608252915,72.69170579029742,,,-15.898617511520767,,-53677503.0,201994213.25737342,66.94704057577955,0.029240557264124854,976829.1487847753,18.28385294117649,17.400000000000006,7.314919914238873,-0.14338722501987844,5.4342857142857195,19.539350454400793,10.001383202390187,,,,32311125.093911644,2.1362500541897993,52419879.044285715,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,222.28610709324485,80.71242397914867,,,-18.46609611586573,61.12915124737901,-201172800.0,333329982.5516809,55.95724042218972,0.17368182210509456,526144.2596086082,17.441823529411806,21.210000000000008,9.092078189300414,0.042250233426703344,5.732857142857148,18.80854924572878,10.34509080631219,,,,185579397.58547938,1.3475517612129622,57131425.105000004,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,228.33632995832568,70.19155077407508,,,-38.044280442804514,39.5792385954145,-262055062.0,339405809.10565215,54.78487370357882,0.1277932020106156,-598248.1778152632,15.649382352941188,15.389999999999986,6.565699658703066,0.07817514901421287,5.907857142857149,17.42345811357359,10.539626179600944,,,,147438758.266723,0.9751437188955431,32721921.844999913,,,,,,
